start,end,title,event_type,price,input,currency,invitees,location,repeat
01/05/2019 18:00,01/05/2019 21:00,she codes,she codes,20,TRUE,nis,,IBM,
01/04/2019 17:30,01/04/2019 18:00,vet,וטרינר,,FALSE,nis,,"igal alon 157, tal aviv",
05/04/2019 12:45,05/04/2019 13:45,haircut,מספרה,220,TRUE,nis,,karmiel,
11/04/2019 19:20,11/04/2019 22:00,captan marvel,סרט,50,TRUE,nis,,"cinem city, ayalon mall",
12/04/2019 09:00,12/04/2019 13:30,she codes team seminar,she codes,,FALSE,nis,,check point,
15/04/2019 18:00,15/04/2019 20:00,pedi,ציפורניים,130,TRUE,nis,,por la vida,
17/04/2019 18:00,17/04/2019 21:00,she codes,she codes,20,TRUE,nis,,IBM,
05/05/2019 17:30,05/05/2019 18:30,vet,וטרינר,,FALSE,nis,,"igal alon 157, tal aviv",
06/05/2019 09:00,06/05/2019 09:30,naturapil,נאטורפיל,,FALSE,nis,,petah tiquwa,
07/05/2019 08:00,07/05/2019 08:30,naturapil,נאטורפיל,,FALSE,nis,,petah tiquwa,
08/05/2019 18:00,08/05/2019 21:00,she codes,she codes,20,TRUE,nis,,IBM,
15/05/2019 18:00,15/05/2019 21:00,she codes,she codes,20,TRUE,nis,,IBM,
18/05/2019 18:00,18/05/2019 23:00,shabi&shayber,בית,,FALSE,nis,,,
24/05/2019 09:00,24/05/2019 09:30,eyebrows,גבות,70,TRUE,nis,,"nesher 76, karmiel",
24/05/2019 14:00,24/05/2019 18:00,surprise party,חברים,100,TRUE,nis,,nahariya,
27/05/2019 18:00,27/05/2019 19:00,pedi,ציפורניים,130,TRUE,nis,,por la vida,
29/05/2019 18:00,29/05/2019 21:00,she codes,she codes,20,TRUE,nis,,IBM,
30/05/2019 07:30,30/05/2019 19:30,vet,וטרינר,,FALSE,nis,,"igal alon 157, tal aviv",
