,start,end,title,event_type,price,input,currency,invitees,location,repeat
0,2019-04-01 17:30:00,2019-04-01 18:00:00,vet,וטרינר,,0.0,nis,,"igal alon 157, tal aviv",
1,2019-04-05 12:45:00,2019-04-05 13:45:00,haircut,מספרה,220.0,1.0,nis,,karmiel,
2,2019-04-11 19:20:00,2019-04-11 22:00:00,captan marvel,סרט,50.0,1.0,nis,,"cinem city, ayalon mall",
3,2019-04-12 09:00:00,2019-04-12 13:30:00,she codes team seminar,she codes,,0.0,nis,,check point,
4,2019-04-15 18:00:00,2019-04-15 20:00:00,pedi,ציפורניים,130.0,1.0,nis,,por la vida,
5,2019-04-17 18:00:00,2019-04-17 21:00:00,she codes,she codes,20.0,1.0,nis,,IBM,
6,2019-05-01 18:00:00,2019-05-01 21:00:00,she codes,she codes,20.0,1.0,nis,,IBM,
7,2019-05-05 17:30:00,2019-05-05 18:30:00,vet,וטרינר,,0.0,nis,,"igal alon 157, tal aviv",
8,2019-05-06 09:00:00,2019-05-06 09:30:00,naturapil,נאטורפיל,,0.0,nis,,petah tiquwa,
9,2019-05-07 08:00:00,2019-05-07 08:30:00,naturapil,נאטורפיל,,0.0,nis,,petah tiquwa,
10,2019-05-08 18:00:00,2019-05-08 21:00:00,she codes,,,,,,lalalalala,
18,2019-05-08 18:00:00,2019-05-08 21:00:00,lalala,,,,,,lalalalala,
11,2019-05-15 18:00:00,2019-05-15 21:00:00,she codes,she codes,20.0,1.0,nis,,IBM,
12,2019-05-18 18:00:00,2019-05-18 23:00:00,shabi&shayber,בית,,0.0,nis,,,
13,2019-05-24 09:00:00,2019-05-24 09:30:00,eyebrows,גבות,70.0,1.0,nis,,"nesher 76, karmiel",
14,2019-05-24 14:00:00,2019-05-24 18:00:00,surprise party,חברים,100.0,1.0,nis,,nahariya,
15,2019-05-27 18:00:00,2019-05-27 19:00:00,pedi,ציפורניים,130.0,1.0,nis,,por la vida,
16,2019-05-29 18:00:00,2019-05-29 21:00:00,she codes,she codes,20.0,1.0,nis,,IBM,
17,2019-05-30 07:30:00,2019-05-30 19:30:00,vet,וטרינר,,0.0,nis,,"igal alon 157, tal aviv",
