start,end,title,event_type,price,input_price,invitees,location,repeat
01/03/2019 09:00,01/03/2019 10:00,pilates,pilates,50,TRUE,,studio SHINE,
03/03/2019 19:15,03/03/2019 21:00,yoga,pilates,50,TRUE,,studio SHINE,
04/03/2019 19:15,04/03/2019 21:00,meni + pedi,nails,260,TRUE,,por la vida,
05/03/2019 17:30,05/03/2019 18:30,vet,vet,10,TRUE,,"Igal Alon 157, Tel Aviv",
06/03/2019 18:00,06/03/2019 21:00,she codes,she codes,20,TRUE,,IBM,
07/03/2019 19:00,07/03/2010 20:00,pilates,pilates,50,TRUE,,studio SHINE,
10/03/2019 19:10,10/03/2019 21:00,yoga,pilates,50,TRUE,,studio SHINE,
10/03/2019 18:00,10/03/2019 21:00,she codes,she codes,20,TRUE,,IBM,
15/03/2019 09:00,15/03/2019 10:00,pilates,pilates,50,TRUE,,studio SHINE,
20/03/2019 18:00,20/03/2019 21:00,she codes,she codes,20,TRUE,,IBM,
21/03/2019 20:00,21/03/2019,theater,theater,60,TRUE,,Habima,
27/03/2019 18:00,27/03/2019 21:00,she codes,she codes,20,TRUE,,IBM,
28/03/2019 19:30,28/03/2019 21:30,meni + pedi,nails,260,TRUE,,por la vida,
01/04/2019 17:30,01/04/2019 18:00,vet,vet,10,TRUE,,"Igal Alon 157, Tel Aviv",
03/04/2019 18:00,03/04/2019 21:00,she codes,she codes,20,TRUE,,IBM,
05/04/2019 12:45,05/04/2019 13:45,hairdresser,hairdresser,200,TRUE,,Karmiel,
10/04/2019 18:00,10/04/2019 21:00,she codes,she codes,20,TRUE,,IBM,
11/04/2019 19:20,11/04/2019 23:00,Captain Marvel,movie,50,TRUE,,Ayalon mall,
15/04/2019 18:00,15/04/2019 20:00,meni + pedi,nails,260,TRUE,,por la vida,
17/04/2019 18:00,17/04/2019 21:00,she codes,she codes,20,TRUE,,IBM,
22/04/2019 07:45,28/04/2019 15:25,Kiev,vecation,0,TRUE,,Ukraine,
01/05/2019 18:00,01/05/2019 21:00,she codes,she codes,20,TRUE,,IBM,
05/05/2019 17:30,05/05/2019 18:30,vet,vet,10,TRUE,,"Igal Alon 157, Tel Aviv",
